unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,index
1.62E+12,3/16/2021 0:00,BTC/USDT,55605.2,56938.29,53271.34,56900.75,77986.69436,4304259208,2241208,1309
1.62E+12,3/15/2021 0:00,BTC/USDT,58976.08,60633.43,54600,55605.2,102771.4273,5874241052,2683815,1308
1.62E+12,3/14/2021 0:00,BTC/USDT,61188.38,61724.79,58966.78,58968.31,52601.05275,3176397574,1829769,1307
1.62E+12,3/13/2021 0:00,BTC/USDT,57221.72,61844,56078.23,61188.39,83245.09135,4933383453,2559002,1306
1.62E+12,3/12/2021 0:00,BTC/USDT,57773.15,58081.51,54962.84,57221.72,73405.40605,4162054726,2489931,1305
1.62E+12,3/11/2021 0:00,BTC/USDT,55851.59,58150,54272.82,57773.16,81914.81286,4612366201,2509970,1304
1.62E+12,3/10/2021 0:00,BTC/USDT,54874.67,57387.69,53005,55851.59,84749.23894,4700197563,2647284,1303
1.62E+12,3/9/2021 0:00,BTC/USDT,52375.18,54895,51789.41,54884.5,71656.73708,3861450965,2194398,1302
1.62E+12,3/8/2021 0:00,BTC/USDT,50959.11,52402.78,49274.67,52375.17,66987.35966,3400847931,1999401,1301
1.62E+12,3/7/2021 0:00,BTC/USDT,48882.2,51450.03,48882.2,50971.75,55235.02803,2778875909,1758101,1300
1.61E+12,3/6/2021 0:00,BTC/USDT,48746.81,49200,47070,48882.2,44399.23424,2143910705,1476474,1299
1.61E+12,3/5/2021 0:00,BTC/USDT,48374.09,49448.93,46300,48751.71,78192.49637,3727133105,2054216,1298
1.61E+12,3/4/2021 0:00,BTC/USDT,50349.37,51773.88,47500,48374.09,82649.71683,4079837241,2291936,1297
1.61E+12,3/3/2021 0:00,BTC/USDT,48436.61,52640,48100.71,50349.37,81035.91371,4109521258,2242131,1296
1.61E+12,3/2/2021 0:00,BTC/USDT,49595.76,50200,47047.6,48440.65,64221.06214,3120472070,1855583,1295
1.61E+12,3/1/2021 0:00,BTC/USDT,45134.11,49790,44950.53,49587.03,85086.11165,4057515795,2147223,1294
1.61E+12,2/28/2021 0:00,BTC/USDT,46103.67,46638.46,43000,45135.66,83055.36904,3708359965,1838345,1293
1.61E+12,2/27/2021 0:00,BTC/USDT,46276.88,48394,45000,46106.43,66060.83429,3105897439,1757720,1292
1.61E+12,2/26/2021 0:00,BTC/USDT,47073.73,48424.11,44106.78,46276.87,109423.2007,5086374533,2371766,1291
1.61E+12,2/25/2021 0:00,BTC/USDT,49676.21,52041.73,46674.34,47073.73,83310.67312,4152188728,2305679,1290
1.61E+12,2/24/2021 0:00,BTC/USDT,48891,51374.99,46988.69,49676.2,91881.20925,4574033001,2194532,1289
1.61E+12,2/23/2021 0:00,BTC/USDT,54087.67,54183.59,44892.56,48891,169375.0251,8215839131,3825196,1288
1.61E+12,2/22/2021 0:00,BTC/USDT,57412.35,57508.47,47622,54087.67,134019.4349,7213386720,3313083,1287
1.61E+12,2/21/2021 0:00,BTC/USDT,55841.19,58352.8,55477.59,57408.57,58166.70851,3317998263,1950533,1286
1.61E+12,2/20/2021 0:00,BTC/USDT,55906,57700.46,53863.93,55841.19,80948.20531,4551890860,2642846,1285
1.61E+12,2/19/2021 0:00,BTC/USDT,51552.61,56368,50710.2,55906,79659.77802,4251167828,2339215,1284
1.61E+12,2/18/2021 0:00,BTC/USDT,52117.67,52530,50901.9,51552.6,60758.04695,3149973077,1891592,1283
1.61E+12,2/17/2021 0:00,BTC/USDT,49133.45,52618.74,48947,52119.71,85743.63782,4365831515,2514374,1282
1.61E+12,2/16/2021 0:00,BTC/USDT,47911.1,50689.18,47003.62,49133.45,88813.2663,4349983778,2199849,1281
1.61E+12,2/15/2021 0:00,BTC/USDT,48580.47,49010.92,45570.79,47911.1,79398.15678,3782219061,2313155,1280
1.61E+12,2/14/2021 0:00,BTC/USDT,47156.78,49707.43,47014.17,48577.79,73735.47553,3584808349,2090070,1279
1.61E+12,2/13/2021 0:00,BTC/USDT,47298.15,48150,46202.53,47153.69,63768.0974,3007710147,2058823,1278
1.61E+12,2/12/2021 0:00,BTC/USDT,47968.66,48985.8,46125,47287.6,85870.0357,4080571909,2418841,1277
1.61E+12,2/11/2021 0:00,BTC/USDT,44807.58,48678.9,43994.02,47969.51,89561.08145,4185630934,2570949,1276
1.61E+12,2/10/2021 0:00,BTC/USDT,46420.42,47310,43727,44807.58,97154.1822,4431650130,2891592,1275
1.61E+12,2/9/2021 0:00,BTC/USDT,46374.86,48142.19,44961.09,46420.42,115499.8617,5386255398,3119034,1274
1.61E+12,2/8/2021 0:00,BTC/USDT,38795.69,46794.45,37988.89,46374.87,138597.5369,5881536977,3230961,1273
1.61E+12,2/7/2021 0:00,BTC/USDT,39181.01,39700,37351,38795.69,84363.67976,3256521384,1976357,1272
1.61E+12,2/6/2021 0:00,BTC/USDT,38289.32,40955.51,38215.94,39186.94,98757.31118,3922095149,2291646,1271
1.61E+12,2/5/2021 0:00,BTC/USDT,36936.65,38310.12,36570,38290.24,66681.33428,2509278292,1853253,1270
1.61E+12,2/4/2021 0:00,BTC/USDT,37620.26,38708.27,36161.95,36936.66,92080.7359,3452669022,2211866,1269
1.61E+12,2/3/2021 0:00,BTC/USDT,35472.71,37662.63,35362.38,37618.87,80784.33366,2951232788,1881740,1268
1.61E+12,2/2/2021 0:00,BTC/USDT,33517.09,35984.33,33418,35466.24,78056.65988,2716321896,1789672,1267
1.61E+12,2/1/2021 0:00,BTC/USDT,33092.97,34717.27,32296.16,33526.37,82718.27688,2791776658,1810492,1266
1.61E+12,1/31/2021 0:00,BTC/USDT,34262.89,34342.69,32171.67,33092.98,68742.28038,2289641046,1707064,1265
1.61E+12,1/30/2021 0:00,BTC/USDT,34246.28,34933,32825,34262.88,84889.68134,2884500063,2201040,1264
1.61E+12,1/29/2021 0:00,BTC/USDT,33368.18,38531.9,31915.4,34252.2,231827.0056,8195593336,4403349,1263
1.61E+12,1/28/2021 0:00,BTC/USDT,30362.19,33783.98,29842.1,33364.86,92621.14562,2953553214,2060660,1262
1.61E+12,1/27/2021 0:00,BTC/USDT,32464.01,32557.29,29241.72,30366.15,95911.96171,2958081422,2065953,1261
1.61E+12,1/26/2021 0:00,BTC/USDT,32254.19,32921.88,30837.37,32467.77,84972.20691,2708545364,2010392,1260
1.61E+12,1/25/2021 0:00,BTC/USDT,32259.45,34875,31910,32254.2,88499.22692,2958759289,2106548,1259
1.61E+12,1/24/2021 0:00,BTC/USDT,32078,33071,30900,32259.9,57978.03797,1864609665,1528287,1258
1.61E+12,1/23/2021 0:00,BTC/USDT,32950,33456,31390.16,32078,64595.28768,2089098296,1700056,1257
1.61E+12,1/22/2021 0:00,BTC/USDT,30851.99,33826.53,28850,32945.17,142971.684,4483295872,2707810,1256
1.61E+12,1/21/2021 0:00,BTC/USDT,35468.23,35600,30071,30850.13,131803.1829,4281220574,2820752,1255
1.61E+12,1/20/2021 0:00,BTC/USDT,35901.94,36415.31,33400,35468.23,89368.42292,3126721094,2234539,1254
1.61E+12,1/19/2021 0:00,BTC/USDT,36622.46,37850,35844.06,35891.49,79611.30777,2935348499,1939371,1253
1.61E+12,1/18/2021 0:00,BTC/USDT,35824.99,37469.83,34800,36631.27,70698.11875,2554843261,1707766,1252
1.61E+12,1/17/2021 0:00,BTC/USDT,35994.98,36852.5,33850,35828.61,80157.72738,2843103040,1860642,1251
1.61E+12,1/16/2021 0:00,BTC/USDT,36737.43,37950,35357.8,35994.98,86348.43151,3178840336,2066363,1250
1.61E+12,1/15/2021 0:00,BTC/USDT,39145.21,39747.76,34408,36742.22,118300.9209,4371588899,2560801,1249
1.61E+12,1/14/2021 0:00,BTC/USDT,37371.38,40100,36701.23,39144.5,102950.3894,3974826638,2297466,1248
1.61E+12,1/13/2021 0:00,BTC/USDT,34049.15,37850,32380,37371.38,124477.9149,4322876606,2514289,1247
1.61E+12,1/12/2021 0:00,BTC/USDT,35410.37,36628,32531,34051.24,133948.152,4651302423,2674145,1246
1.61E+12,1/11/2021 0:00,BTC/USDT,38150.02,38264.74,30420,35404.47,249131.5399,8426879771,4431451,1245
1.61E+12,1/10/2021 0:00,BTC/USDT,40088.22,41350,35111.11,38150.02,118209.5445,4604034730,2628050,1244
1.61E+12,1/9/2021 0:00,BTC/USDT,40586.96,41380,38720,40088.22,75785.97968,3054779029,1998156,1243
1.61E+12,1/8/2021 0:00,BTC/USDT,39432.48,41950,36500,40582.81,139789.9575,5568443209,2925632,1242
1.61E+12,1/7/2021 0:00,BTC/USDT,36769.36,40365,36300,39432.28,132825.7004,5062569943,2814686,1241
1.61E+12,1/6/2021 0:00,BTC/USDT,33949.53,36939.21,33288,36769.36,127139.2013,4431954249,2591783,1240
1.61E+12,1/5/2021 0:00,BTC/USDT,31989.75,34360,29900,33949.53,116049.997,3743617145,2526851,1239
1.61E+12,1/4/2021 0:00,BTC/USDT,33000.05,33600,28130,31988.71,140899.8857,4429010350,2642408,1238
1.61E+12,1/3/2021 0:00,BTC/USDT,32176.45,34778.11,31962.99,33000.05,120957.5668,4057598425,2369698,1237
1.61E+12,1/2/2021 0:00,BTC/USDT,29331.7,33300,28946.53,32178.33,129993.8734,4073842164,2245922,1236
1.61E+12,1/1/2021 0:00,BTC/USDT,28923.63,29600,28624.57,29331.69,54182.92501,1582526989,1314910,1235
1.61E+12,12/31/2020 0:00,BTC/USDT,28875.55,29300,27850,28923.63,75508.50515,2173600125,1552793,1234
1.61E+12,12/30/2020 0:00,BTC/USDT,27385,28996,27320,28875.54,95356.05783,2683953237,1916095,1233
1.61E+12,12/29/2020 0:00,BTC/USDT,27079.42,27410,25880,27385,69411.59261,1851617220,1605166,1232
1.61E+12,12/28/2020 0:00,BTC/USDT,26281.54,27500,26101,27079.41,79721.7425,2151806809,1508204,1231
